"gene","PID_ATF2_PATHWAY"
"CYSLTR1",0
"COPZ1",0
"RUVBL2",1
"U2AF1",0
"U2AF2",0
"MPHOSPH6",0
"BMX",0
"KCNAB2",0
"G0S2",0
"DHPS",0
"SHB",0
"CCDC6",0
"COX7A2",0
"DYNC2H1",0
"MTHFD1",0
"RHOQ",0
"TBP",0
"MGP",0
"NSD1",0
"GPT2",0
"ADSS",0
"GMNN",0
"ADSL",0
"ACVR1C",0
"ZNF343",0
"ZNF434",0
"AZI1",0
"ZNF347",0
"ZNF430",0
"ZNF433",0
"ZNF432",0
"ZNF439",0
"RALGDS",0
"NUDT12",0
"DLL1",0
"DLL3",0
"ZW10",0
"NUDT19",0
"STX8",0
"IFI6",0
"STX3",0
"STX5",0
"STX4",0
"STX7",0
"STX6",0
"RPS3A",0
"FBP1",0
"GPR77",0
"STAB2",0
"NLGN3",0
"ARHGAP44",0
"ZNF205",0
"ICA1",0
"AURKA",0
"AURKB",0
"AURKC",0
"AP1B1",0
"TXLNG",0
"BMF",0
"TBKBP1",0
"ABI2",0
"SLC22A4",0
"SP100",0
"ACADVL",0
"RAB4A",0
"CHN2",0
"CHN1",0
"IL24",0
"IL26",0
"IL29",0
"CAV2",0
"AXL",0
"TIMP1",0
"IL12RB1",0
"IL12RB2",0
"ATP6AP1",0
"BRCA1",1
"BRCA2",0
"ACOT8",0
"ADCY4",0
"ADCY5",0
"ADCY6",0
"RBBP8",0
"ADCY3",0
"RBBP7",0
"ADCY9",0
"KIF23",0
"KIF22",0
"SLC22A1",0
"SKAP2",0
"C12orf5",0
"XRCC1",0
"XRCC3",0
"XRCC5",0
"XRCC4",0
"PITPNB",0
"SMURF1",0
"SMURF2",0
"MFN1",0
"NARS",0
"TFRC",0
"CTLA4",0
"HLA-DPA1",0
"RSL1D1",0
"PAPD7",0
"KIR3DL1",0
"KIR3DL2",0
"KIR3DL3",0
"LMNB2",0
"IL13RA1",0
"LMNB1",0
"MRPS28",0
"MRPS26",0
"CD274",0
"MRPS24",0
"MRPS22",0
"MRPS23",0
"MRPS21",0
"CTSL1",0
"PPP2R5D",0
"PPP2R5E",0
"PPP2R5A",0
"PPP2R5B",0
"PPP2R5C",0
"YY1",0
"FLAD1",0
"H2AFY2",0
"NAMPT",0
"ADCY10",0
"KCNA6",0
"KCNA5",0
"KCNA3",0
"MCCC2",0
"ACACA",0
"ACACB",0
"SIN3B",0
"APPL1",0
"PLA2G2D",0
"RHOD",0
"SLC35D2",0
"SLC35D1",0
"COX7B",0
"HIBCH",0
"SARS2",0
"CYFIP1",0
"HS3ST1",0
"CYFIP2",0
"C19orf29",0
"SIN3A",0
"LHPP",0
"NUP188",0
"SYNJ1",0
"PHOSPHO1",0
"SYNJ2",0
"BPNT1",0
"EIF4A1",0
"GLT25D2",0
"BCL9",0
"EIF4A2",0
"BCL2",1
"PLK3",0
"ZKSCAN1",0
"OAS1",0
"OAS3",0
"OAS2",0
"STK11IP",0
"MTM1",0
"OASL",0
"CSNK1G2",0
"CSNK1G3",0
"CSNK1G1",0
"SERPINB2",0
"SERPINB6",0
"SMO",0
"CX3CR1",0
"MAGED1",0
"POLE",0
"NFS1",0
"ATP8B1",0
"ATP8B4",0
"ROBO3",0
"CHRNE",0
"DES",0
"MANEA",0
"KLHDC3",0
"DDX5",0
"INADL",0
"HTR2B",0
"ZBTB33",0
"ZBTB32",0
"SPATA13",0
"SMC1B",0
"MDK",0
"PEX1",0
"FXC1",0
"PEX2",0
"PEX5",0
"PEX7",0
"PEX6",0
"ESAM",0
"ACE",0
"ACD",0
"NEB",0
"ATP5J",0
"ATP5I",0
